"local","ano","mes","precipitação_(mm)_total_mensal","radiacao_global_(kj/m²)_média_mensal","temperatura_do_ar_(°c)_média_mensal","temperatura_maxima_(°c)_mensal","temperatura_minima_(°c)_mensal","umidade_relativa_media_do_ar_(%)_mensal"
"florianopolis_sc",2008,"Jan",531.6,1319.2,24.2,27.9,21.2,78
"florianopolis_sc",2008,"Fev",328.4,1508.8,24.4,28.7,20.9,79
"florianopolis_sc",2008,"Mar",197,1348.7,24,28.3,20.9,79
"florianopolis_sc",2008,"Abr",221.6,1125.4,21.4,26,17.8,78
"florianopolis_sc",2008,"Mai",76.6,1142.6,18.8,24.1,14.2,77
"florianopolis_sc",2008,"Jun",72,930.6,16.3,20.8,12.7,79
"florianopolis_sc",2008,"Jul",12.2,1054.3,18.3,22.7,14.5,81
"florianopolis_sc",2008,"Ago",61,951,18.1,22,15.4,80
"florianopolis_sc",2008,"Set",234.2,1092.4,17.7,21.6,14.6,77
"florianopolis_sc",2008,"Out",294,932.2,20,23,17.7,83
"florianopolis_sc",2008,"Nov",632.4,1051.4,21.2,24.4,18.9,84
"florianopolis_sc",2008,"Dez",305.8,1600,23,26.8,19.8,76
"florianopolis_sc",2009,"Jan",223,1409.5,24,28.3,20.6,77
"florianopolis_sc",2009,"Fev",140,1295.1,25.1,28.6,22.3,79
"florianopolis_sc",2009,"Mar",218.8,1407.3,24.8,29.2,21.5,78
"florianopolis_sc",2009,"Abr",321.4,1245,22.3,26.6,19,78
"florianopolis_sc",2009,"Mai",88.6,944.4,20,24.3,16.4,79
"florianopolis_sc",2009,"Jun",36,939.6,16.2,20.8,12.2,78
"florianopolis_sc",2009,"Jul",131.2,788.8,15.5,19,12.5,82
"florianopolis_sc",2009,"Ago",126.6,1094.3,17.5,21.9,13.8,82
"florianopolis_sc",2009,"Set",222,898.3,18.8,21.8,16.3,82
"florianopolis_sc",2009,"Out",104.4,1166.5,19.7,23.5,16.9,80
"florianopolis_sc",2009,"Nov",128.2,1377.2,24.6,28.4,21.7,80
"florianopolis_sc",2009,"Dez",124.4,1455,24.9,28.5,22,77
"florianopolis_sc",2010,"Jan",216.4,1293.2,25.4,29.4,22.6,80
"florianopolis_sc",2010,"Fev",175,1361.5,26.4,30.5,23.2,79
"florianopolis_sc",2010,"Mar",286,1219.9,24.2,28.4,21.2,81
"florianopolis_sc",2010,"Abr",127.4,981.2,21.8,25.4,18.7,79
"florianopolis_sc",2010,"Mai",448.4,820,19.5,22.9,16.4,83
"florianopolis_sc",2010,"Jun",89.8,875.7,17.3,21.6,13.8,80
"florianopolis_sc",2010,"Jul",99.2,774.2,17.2,20.9,14.3,82
"florianopolis_sc",2010,"Ago",65.4,1034.4,16.3,20.2,13.1,78
"florianopolis_sc",2010,"Set",160,984.2,18.7,21.9,16,81
"florianopolis_sc",2010,"Out",136.2,1287.6,19.4,23.2,16.1,76
"florianopolis_sc",2010,"Nov",154.2,1486.2,21.6,25.6,18.3,77
"florianopolis_sc",2010,"Dez",115.2,1287.6,23.4,27.2,20.5,79
"florianopolis_sc",2011,"Jan",293.8,1268,25.7,29.9,22.8,81
"florianopolis_sc",2011,"Fev",278.6,1253.3,25.3,29.3,22.8,82
"florianopolis_sc",2011,"Mar",283.6,1150.4,23.1,27,20.4,81
"florianopolis_sc",2011,"Abr",53.4,1222.5,22,26.9,18.4,78
"florianopolis_sc",2011,"Mai",111.8,954.8,19.2,23.4,15.9,76
"florianopolis_sc",2011,"Jun",83.8,834.2,16.5,20.8,13,77
"florianopolis_sc",2011,"Jul",137.4,789.8,15.9,19.6,13.1,83
"florianopolis_sc",2011,"Ago",360.4,819.3,16.7,20.2,14,79
"florianopolis_sc",2011,"Set",255.4,1201.2,17.2,21.1,13.7,79
"florianopolis_sc",2011,"Out",79,1300.1,20.7,24.2,18,78
"florianopolis_sc",2011,"Nov",89,1444.2,21.3,24.9,18.1,75
"florianopolis_sc",2011,"Dez",227.2,1411.6,23,27.6,19.5,76
"florianopolis_sc",2012,"Jan",339.4,1397.2,24.2,28.2,21,77
"florianopolis_sc",2012,"Fev",74.4,1541.7,25.9,29.9,22.9,78
"florianopolis_sc",2012,"Mar",103.8,1585.6,24.1,29,19.8,73
"florianopolis_sc",2012,"Abr",79.2,1106.2,21.9,25.9,18.6,78
"florianopolis_sc",2012,"Mai",116.2,1055.6,19.7,24.3,16,79
"florianopolis_sc",2012,"Jun",133.6,874.3,17.4,21.7,13.9,80
"florianopolis_sc",2012,"Jul",162,803.1,16.2,20.8,12.4,80
"florianopolis_sc",2012,"Ago",63,1087.2,19,22.7,16.2,82
"florianopolis_sc",2012,"Set",64.2,1175.1,19.3,23.4,15.9,75
"florianopolis_sc",2012,"Out",106.8,1062.7,21.3,24.9,18.8,79
"florianopolis_sc",2012,"Nov",99.8,1548.5,22.5,26.6,19.8,74
"florianopolis_sc",2012,"Dez",78,1394.9,25.5,29.6,22.9,76
"florianopolis_sc",2013,"Jan",87.2,1456.3,24.2,28.4,20.9,73
"florianopolis_sc",2013,"Fev",184,1324.2,25.1,29.6,22,77
"florianopolis_sc",2013,"Mar",306.6,1117.2,23,26.8,20.1,79
"florianopolis_sc",2013,"Abr",160.2,1249.9,21.8,26.6,17.8,75
"florianopolis_sc",2013,"Mai",52.2,1008.9,19.4,23.9,15.7,77
"florianopolis_sc",2013,"Jun",119.6,772.1,18.1,21.8,15.2,83
"florianopolis_sc",2013,"Jul",85.4,931.3,15.6,20.6,11.7,80
"florianopolis_sc",2013,"Ago",129.2,1057.6,16.2,20.7,12.8,80
"florianopolis_sc",2013,"Set",214.8,1048.7,18.3,22.3,15.4,79
"florianopolis_sc",2013,"Out",64,1394,20.4,24,17.5,77
"florianopolis_sc",2013,"Nov",103,1335.8,22.2,25.9,19.3,77
"florianopolis_sc",2013,"Dez",85,1450.5,24.4,28.5,21.6,77
"florianopolis_sc",2014,"Jan",186.8,1582.1,26,30.7,22.7,78
"florianopolis_sc",2014,"Fev",118.4,1605.6,26.4,31,23.1,76
"florianopolis_sc",2014,"Mar",122,1351.7,24.2,28.7,21,79
"florianopolis_sc",2014,"Abr",103.8,1099.8,22.4,26.1,19.3,79
"florianopolis_sc",2014,"Mai",84.8,977.8,19.6,23.7,16.2,80
"florianopolis_sc",2014,"Jun",234.8,660.2,18,21.7,15.1,83
"florianopolis_sc",2014,"Jul",54.6,861.3,17.5,21.4,14.4,80
"florianopolis_sc",2014,"Ago",87,1181.1,17.7,22.7,13.6,77
"florianopolis_sc",2014,"Set",152.8,960,19.7,23.2,17.1,82
"florianopolis_sc",2014,"Out",134.8,1462.7,21.9,25.6,19,75
"florianopolis_sc",2014,"Nov",90.4,1395.1,23.2,26.9,20.3,74
"florianopolis_sc",2014,"Dez",170.4,1433.4,24.5,28.5,21.5,77
"santa_marta_sc",2008,"Jan",NA,NA,NA,NA,NA,NA
"santa_marta_sc",2008,"Fev",NA,NA,NA,NA,NA,NA
"santa_marta_sc",2008,"Mar",NA,NA,NA,NA,NA,NA
"santa_marta_sc",2008,"Abr",NA,NA,NA,NA,NA,NA
"santa_marta_sc",2008,"Mai",NA,NA,NA,NA,NA,NA
"santa_marta_sc",2008,"Jun",NA,NA,NA,NA,NA,NA
"santa_marta_sc",2008,"Jul",16.6,996.4,17.4,20.4,15.1,84
"santa_marta_sc",2008,"Ago",37.8,1042.8,16.4,19.4,14.1,84
"santa_marta_sc",2008,"Set",165.8,1294.9,16.5,19.4,14,82
"santa_marta_sc",2008,"Out",192.6,1119.4,18.7,20.8,17.2,86
"santa_marta_sc",2008,"Nov",161.6,1338.3,19.6,21.9,17.7,88
"santa_marta_sc",2008,"Dez",48.6,1794.3,20.5,23.4,18.6,86
"santa_marta_sc",2009,"Jan",252,1424.4,22.1,25,19.7,86
